2021 NSS results split by teaching provider,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,%Agree,,,,
UKPRN,Provider,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval - min,Actual value,Confidence interval - max,Response,Sample Size
10004927,Activate Learning,Q02,1%,3%,10%,38%,48%,0,77%,86%,92%,105,140
10004927,Activate Learning,Q03,2%,5%,9%,44%,41%,0,76%,85%,91%,105,140
10004927,Activate Learning,Q04,1%,9%,7%,46%,38%,0,75%,84%,90%,105,140
10004927,Activate Learning,Scale01,1%,5%,8%,43%,42%,0,76%,85%,91%,105,140
10004927,Activate Learning,Q05,3%,5%,11%,42%,39%,0,71%,81%,88%,105,140
10004927,Activate Learning,Q06,1%,4%,10%,51%,33%,0,76%,85%,91%,105,140
10004927,Activate Learning,Q07,5%,7%,11%,42%,36%,2,68%,78%,85%,103,140
10004927,Activate Learning,Scale02,3%,5%,11%,45%,36%,2,71%,81%,88%,105,140
10004927,Activate Learning,Q08,3%,6%,13%,44%,34%,0,68%,78%,86%,105,140
10004927,Activate Learning,Q09,2%,5%,11%,46%,37%,1,73%,83%,89%,104,140
10004927,Activate Learning,Q10,11%,11%,13%,30%,34%,0,53%,64%,73%,105,140
10004927,Activate Learning,Q11,7%,8%,10%,36%,39%,0,65%,75%,83%,105,140
10004927,Activate Learning,Scale03,6%,7%,12%,39%,36%,1,65%,75%,83%,105,140
10004927,Activate Learning,Q12,8%,9%,10%,33%,41%,0,64%,74%,82%,105,140
10004927,Activate Learning,Q13,9%,6%,13%,39%,33%,1,62%,72%,81%,104,140
10004927,Activate Learning,Q14,6%,8%,14%,40%,32%,3,62%,73%,81%,102,140
10004927,Activate Learning,Scale04,7%,7%,12%,38%,35%,4,63%,73%,81%,105,140
10004927,Activate Learning,Q15,16%,13%,10%,35%,27%,1,51%,62%,71%,104,140
10004927,Activate Learning,Q16,1%,4%,12%,40%,43%,0,74%,83%,89%,105,140
10004927,Activate Learning,Q17,13%,11%,9%,30%,36%,0,56%,67%,76%,105,140
10004927,Activate Learning,Scale05,10%,9%,10%,35%,35%,1,60%,70%,79%,105,140
10004927,Activate Learning,Q18,11%,13%,21%,31%,24%,2,45%,55%,66%,103,140
10004927,Activate Learning,Q19,8%,8%,26%,35%,24%,4,48%,58%,68%,101,140
10004927,Activate Learning,Q20,9%,11%,23%,36%,21%,2,47%,57%,67%,103,140
10004927,Activate Learning,Scale06,9%,11%,23%,33%,23%,8,46%,57%,67%,105,140
10004927,Activate Learning,Q21,5%,10%,26%,27%,32%,0,48%,59%,69%,105,140
10004927,Activate Learning,Q22,3%,5%,8%,37%,48%,1,75%,85%,91%,104,140
10004927,Activate Learning,Scale07,4%,8%,17%,31%,40%,1,61%,71%,80%,105,140
10004927,Activate Learning,Q23,5%,11%,12%,35%,38%,1,63%,73%,81%,104,140
10004927,Activate Learning,Q24,10%,7%,9%,35%,40%,1,65%,75%,83%,104,140
10004927,Activate Learning,Q25,15%,11%,15%,36%,23%,1,48%,59%,69%,104,140
10004927,Activate Learning,Scale08,10%,9%,12%,35%,34%,3,58%,69%,78%,104,140
10004927,Activate Learning,Q26,9%,7%,40%,31%,13%,11,33%,44%,55%,94,140
10004927,Activate Learning,Q27,10%,10%,11%,32%,38%,1,60%,70%,79%,104,140
10000163,AECC University College,Q01,2%,15%,8%,52%,21%,0,62%,74%,83%,84,115
10000163,AECC University College,Q02,2%,8%,19%,54%,17%,0,59%,70%,80%,84,115
10000163,AECC University College,Q03,1%,7%,8%,39%,44%,0,73%,83%,90%,84,115
10000163,AECC University College,Q04,7%,2%,18%,40%,32%,0,61%,73%,82%,84,115
10000163,AECC University College,Scale01,3%,8%,13%,46%,29%,0,64%,75%,84%,84,115
10000163,AECC University College,Q05,13%,15%,15%,38%,18%,0,44%,56%,67%,84,115
10000163,AECC University College,Q06,6%,12%,12%,40%,30%,1,58%,70%,80%,83,115
10000163,AECC University College,Q07,2%,13%,13%,38%,33%,0,60%,71%,81%,84,115
10000163,AECC University College,Scale02,7%,13%,13%,38%,27%,1,54%,66%,76%,84,115
10000163,AECC University College,Q08,11%,14%,18%,36%,20%,1,45%,57%,68%,83,115
10000163,AECC University College,Q09,8%,14%,15%,45%,17%,0,50%,62%,72%,84,115
10000163,AECC University College,Q10,15%,18%,19%,36%,12%,0,36%,48%,59%,84,115
10000163,AECC University College,Q11,13%,21%,17%,39%,10%,0,37%,49%,60%,84,115
10000163,AECC University College,Scale03,12%,17%,17%,39%,15%,1,42%,54%,65%,84,115
10000163,AECC University College,Q12,2%,7%,17%,48%,26%,0,62%,74%,83%,84,115
10000163,AECC University College,Q13,8%,14%,14%,49%,14%,0,51%,63%,74%,84,115
10000163,AECC University College,Q14,8%,5%,36%,41%,10%,4,39%,51%,63%,80,115
10000163,AECC University College,Scale04,6%,10%,22%,46%,17%,4,51%,63%,73%,84,115
10000163,AECC University College,Q15,33%,20%,21%,17%,8%,0,16%,25%,36%,84,115
10000163,AECC University College,Q16,19%,26%,23%,24%,8%,0,22%,32%,44%,84,115
10000163,AECC University College,Q17,26%,19%,25%,20%,10%,0,20%,30%,41%,84,115
10000163,AECC University College,Scale05,26%,22%,23%,20%,9%,0,20%,29%,41%,84,115
10000163,AECC University College,Q18,1%,7%,20%,45%,26%,0,60%,71%,81%,84,115
10000163,AECC University College,Q19,2%,6%,7%,39%,46%,1,74%,84%,91%,83,115
10000163,AECC University College,Q20,6%,12%,14%,45%,23%,1,56%,67%,77%,83,115
10000163,AECC University College,Scale06,3%,8%,15%,42%,31%,2,62%,74%,83%,84,115
10000163,AECC University College,Q21,8%,8%,15%,42%,26%,0,56%,68%,78%,84,115
10000163,AECC University College,Q22,2%,7%,10%,50%,31%,0,70%,81%,89%,84,115
10000163,AECC University College,Scale07,5%,8%,13%,46%,29%,0,63%,74%,83%,84,115
10000163,AECC University College,Q23,7%,10%,24%,32%,27%,0,48%,60%,70%,84,115
10000163,AECC University College,Q24,18%,23%,21%,24%,14%,0,28%,38%,50%,84,115
10000163,AECC University College,Q25,24%,21%,26%,18%,11%,0,19%,29%,40%,84,115
10000163,AECC University College,Scale08,16%,18%,24%,25%,17%,0,31%,42%,54%,84,115
10000163,AECC University College,Q26,12%,13%,31%,25%,19%,0,33%,44%,56%,84,115
10000163,AECC University College,Q27,10%,18%,18%,42%,13%,0,43%,55%,66%,84,115
10000248,ALRA,Q01,2%,9%,15%,46%,28%,1,58%,74%,85%,46,56
10000248,ALRA,Q02,2%,4%,2%,51%,40%,0,78%,91%,97%,47,56
10000248,ALRA,Q03,0%,9%,13%,38%,40%,0,63%,79%,89%,47,56
10000248,ALRA,Q04,0%,6%,13%,36%,45%,0,66%,81%,90%,47,56
10000248,ALRA,Scale01,1%,7%,11%,43%,38%,1,66%,81%,90%,47,56
10000248,ALRA,Q05,2%,4%,2%,34%,57%,0,78%,91%,97%,47,56
10000248,ALRA,Q06,0%,4%,13%,28%,55%,0,68%,83%,92%,47,56
10000248,ALRA,Q07,0%,6%,2%,34%,57%,0,78%,91%,97%,47,56
10000248,ALRA,Scale02,1%,5%,6%,32%,57%,0,75%,89%,95%,47,56
10000248,ALRA,Q08,13%,17%,26%,30%,15%,0,30%,45%,60%,47,56
10000248,ALRA,Q09,11%,4%,21%,40%,23%,0,48%,64%,77%,47,56
10000248,ALRA,Q10,4%,11%,11%,49%,26%,0,59%,74%,86%,47,56
10000248,ALRA,Q11,4%,6%,6%,43%,40%,0,68%,83%,92%,47,56
10000248,ALRA,Scale03,8%,10%,16%,40%,26%,0,51%,66%,79%,47,56
10000248,ALRA,Q12,2%,2%,6%,40%,49%,0,76%,89%,96%,47,56
10000248,ALRA,Q13,4%,6%,15%,43%,32%,0,59%,74%,86%,47,56
10000248,ALRA,Q14,4%,2%,11%,48%,35%,1,68%,83%,92%,46,56
10000248,ALRA,Scale04,4%,4%,11%,44%,38%,1,67%,82%,91%,47,56
10000248,ALRA,Q15,21%,19%,21%,26%,13%,0,25%,38%,54%,47,56
10000248,ALRA,Q16,2%,2%,9%,62%,26%,0,73%,87%,94%,47,56
10000248,ALRA,Q17,23%,19%,30%,13%,15%,0,16%,28%,43%,47,56
10000248,ALRA,Scale05,16%,13%,20%,33%,18%,0,36%,51%,66%,47,56
10000248,ALRA,Q18,22%,20%,27%,16%,16%,2,19%,31%,47%,45,56
10000248,ALRA,Q19,17%,21%,15%,28%,19%,0,32%,47%,62%,47,56
10000248,ALRA,Q20,2%,15%,26%,32%,26%,0,42%,57%,72%,47,56
10000248,ALRA,Scale06,14%,19%,22%,25%,20%,2,30%,45%,60%,47,56
10000248,ALRA,Q21,2%,2%,6%,47%,43%,0,76%,89%,96%,47,56
10000248,ALRA,Q22,0%,2%,4%,36%,57%,0,81%,94%,98%,47,56
10000248,ALRA,Scale07,1%,2%,5%,41%,50%,0,78%,91%,97%,47,56
10000248,ALRA,Q23,0%,11%,13%,30%,47%,0,61%,77%,87%,47,56
10000248,ALRA,Q24,2%,9%,21%,32%,36%,0,52%,68%,81%,47,56
10000248,ALRA,Q25,4%,9%,23%,40%,23%,0,48%,64%,77%,47,56
10000248,ALRA,Scale08,2%,9%,19%,34%,35%,0,54%,70%,82%,47,56
10000248,ALRA,Q26,2%,7%,26%,40%,26%,4,49%,65%,79%,43,56
10000248,ALRA,Q27,6%,4%,13%,45%,32%,0,61%,77%,87%,47,56
10032036,Amity Global Education Ltd,Q01,0%,0%,0%,40%,60%,0,68%,100%,100%,10,11
10032036,Amity Global Education Ltd,Q02,0%,0%,0%,40%,60%,0,68%,100%,100%,10,11
10032036,Amity Global Education Ltd,Q03,0%,0%,0%,40%,60%,0,68%,100%,100%,10,11
10032036,Amity Global Education Ltd,Q04,0%,0%,0%,40%,60%,0,68%,100%,100%,10,11
10032036,Amity Global Education Ltd,Scale01,0%,0%,0%,40%,60%,0,68%,100%,100%,10,11
10032036,Amity Global Education Ltd,Q05,0%,0%,10%,40%,50%,0,56%,90%,98%,10,11
10032036,Amity Global Education Ltd,Q06,0%,0%,10%,10%,80%,0,56%,90%,98%,10,11
10032036,Amity Global Education Ltd,Q07,0%,0%,0%,40%,60%,0,68%,100%,100%,10,11
10032036,Amity Global Education Ltd,Scale02,0%,0%,7%,30%,63%,0,60%,93%,99%,10,11
10032036,Amity Global Education Ltd,Q08,0%,10%,10%,30%,50%,0,46%,80%,95%,10,11
10032036,Amity Global Education Ltd,Q09,0%,0%,10%,30%,60%,0,56%,90%,98%,10,11
10032036,Amity Global Education Ltd,Q10,0%,10%,0%,30%,60%,0,56%,90%,98%,10,11
10032036,Amity Global Education Ltd,Q11,0%,20%,0%,0%,80%,0,46%,80%,95%,10,11
10032036,Amity Global Education Ltd,Scale03,0%,10%,5%,23%,63%,0,51%,85%,97%,10,11
10032036,Amity Global Education Ltd,Q12,0%,10%,0%,10%,80%,0,56%,90%,98%,10,11
10032036,Amity Global Education Ltd,Q13,0%,10%,0%,20%,70%,0,56%,90%,98%,10,11
10032036,Amity Global Education Ltd,Q14,0%,10%,0%,30%,60%,0,56%,90%,98%,10,11
10032036,Amity Global Education Ltd,Scale04,0%,10%,0%,20%,70%,0,56%,90%,98%,10,11
10032036,Amity Global Education Ltd,Q15,0%,0%,0%,40%,60%,0,68%,100%,100%,10,11
10032036,Amity Global Education Ltd,Q16,0%,0%,0%,30%,70%,0,68%,100%,100%,10,11
10032036,Amity Global Education Ltd,Q17,0%,0%,0%,30%,70%,0,68%,100%,100%,10,11
10032036,Amity Global Education Ltd,Scale05,0%,0%,0%,33%,67%,0,68%,100%,100%,10,11
10032036,Amity Global Education Ltd,Q18,0%,0%,0%,40%,60%,0,68%,100%,100%,10,11
10032036,Amity Global Education Ltd,Q19,20%,10%,20%,30%,20%,0,22%,50%,78%,10,11
10032036,Amity Global Education Ltd,Q20,10%,10%,0%,40%,40%,0,46%,80%,95%,10,11
10032036,Amity Global Education Ltd,Scale06,10%,7%,7%,37%,40%,0,43%,77%,94%,10,11
10032036,Amity Global Education Ltd,Q21,0%,10%,10%,20%,60%,0,46%,80%,95%,10,11
10032036,Amity Global Education Ltd,Q22,0%,0%,10%,10%,80%,0,56%,90%,98%,10,11
10032036,Amity Global Education Ltd,Scale07,0%,5%,10%,15%,70%,0,51%,85%,97%,10,11
10032036,Amity Global Education Ltd,Q23,0%,0%,10%,20%,70%,0,56%,90%,98%,10,11
10032036,Amity Global Education Ltd,Q24,0%,0%,0%,20%,80%,0,68%,100%,100%,10,11
10032036,Amity Global Education Ltd,Q25,0%,0%,10%,50%,40%,0,56%,90%,98%,10,11
10032036,Amity Global Education Ltd,Scale08,0%,0%,7%,30%,63%,0,60%,93%,99%,10,11
10032036,Amity Global Education Ltd,Q26,0%,10%,0%,50%,40%,0,56%,90%,98%,10,11
10032036,Amity Global Education Ltd,Q27,0%,0%,0%,30%,70%,0,68%,100%,100%,10,11
10000291,Anglia Ruskin University Higher Education Corporation,Q01,2%,5%,10%,53%,30%,2,82%,83%,85%,3028,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q02,2%,6%,14%,50%,29%,2,77%,79%,80%,3028,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q03,3%,5%,12%,43%,37%,0,79%,80%,82%,3030,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q04,3%,5%,14%,38%,40%,4,76%,78%,79%,3026,4435
10000291,Anglia Ruskin University Higher Education Corporation,Scale01,2%,5%,12%,46%,34%,8,78%,80%,81%,3030,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q05,2%,5%,12%,45%,35%,2,78%,80%,81%,3028,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q06,1%,4%,11%,45%,38%,2,81%,83%,84%,3028,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q07,3%,7%,13%,41%,37%,11,76%,78%,79%,3019,4435
10000291,Anglia Ruskin University Higher Education Corporation,Scale02,2%,5%,12%,43%,37%,15,79%,80%,82%,3030,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q08,4%,7%,15%,39%,34%,4,72%,74%,76%,3026,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q09,5%,8%,17%,42%,28%,4,68%,70%,71%,3026,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q10,5%,8%,13%,43%,31%,8,72%,74%,75%,3022,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q11,5%,8%,15%,41%,31%,14,70%,72%,74%,3016,4435
10000291,Anglia Ruskin University Higher Education Corporation,Scale03,5%,8%,15%,41%,31%,30,70%,72%,74%,3030,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q12,5%,7%,12%,39%,37%,9,74%,76%,78%,3021,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q13,4%,8%,15%,41%,31%,4,71%,72%,74%,3026,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q14,4%,7%,18%,40%,30%,68,69%,70%,72%,2962,4435
10000291,Anglia Ruskin University Higher Education Corporation,Scale04,4%,8%,15%,40%,33%,81,71%,73%,75%,3029,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q15,9%,11%,18%,38%,25%,5,61%,63%,65%,3025,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q16,5%,7%,10%,41%,37%,12,76%,78%,79%,3018,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q17,7%,10%,13%,38%,33%,20,69%,70%,72%,3010,4435
10000291,Anglia Ruskin University Higher Education Corporation,Scale05,7%,9%,14%,39%,31%,37,68%,70%,72%,3029,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q18,4%,8%,15%,41%,32%,36,71%,73%,74%,2994,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q19,3%,6%,13%,40%,39%,28,77%,78%,80%,3002,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q20,3%,7%,15%,40%,34%,69,73%,74%,76%,2961,4435
10000291,Anglia Ruskin University Higher Education Corporation,Scale06,4%,7%,14%,40%,35%,133,73%,75%,77%,3029,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q21,7%,10%,22%,37%,25%,26,60%,62%,64%,3004,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q22,3%,6%,12%,42%,37%,27,77%,79%,81%,3003,4435
10000291,Anglia Ruskin University Higher Education Corporation,Scale07,5%,8%,17%,39%,31%,53,69%,70%,72%,3023,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q23,3%,5%,12%,41%,39%,19,79%,80%,82%,3011,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q24,5%,7%,17%,37%,34%,23,69%,71%,73%,3007,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q25,7%,11%,26%,33%,24%,43,55%,56%,58%,2987,4435
10000291,Anglia Ruskin University Higher Education Corporation,Scale08,5%,8%,18%,37%,32%,85,67%,69%,71%,3022,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q26,4%,6%,31%,34%,24%,149,56%,58%,60%,2881,4435
10000291,Anglia Ruskin University Higher Education Corporation,Q27,5%,8%,13%,41%,33%,21,73%,74%,76%,3009,4435
10008071,Architectural Association (Incorporated),Q01,0%,6%,13%,39%,42%,0,68%,81%,89%,67,86
10008071,Architectural Association (Incorporated),Q02,0%,1%,4%,33%,61%,0,84%,94%,98%,67,86
10008071,Architectural Association (Incorporated),Q03,0%,1%,4%,25%,69%,0,84%,94%,98%,67,86
10008071,Architectural Association (Incorporated),Q04,1%,4%,4%,27%,63%,0,79%,90%,95%,67,86
10008071,Architectural Association (Incorporated),Scale01,0%,3%,7%,31%,59%,0,79%,90%,95%,67,86
10008071,Architectural Association (Incorporated),Q05,0%,4%,3%,33%,60%,0,82%,93%,97%,67,86
10008071,Architectural Association (Incorporated),Q06,0%,2%,2%,29%,68%,1,88%,97%,99%,66,86
10008071,Architectural Association (Incorporated),Q07,3%,3%,10%,39%,45%,0,72%,84%,91%,67,86
10008071,Architectural Association (Incorporated),Scale02,1%,3%,5%,33%,57%,1,80%,91%,96%,67,86
10008071,Architectural Association (Incorporated),Q08,10%,16%,19%,30%,24%,0,41%,54%,66%,67,86
10008071,Architectural Association (Incorporated),Q09,3%,7%,24%,33%,33%,0,52%,66%,77%,67,86
10008071,Architectural Association (Incorporated),Q10,4%,13%,18%,34%,30%,0,51%,64%,76%,67,86
10008071,Architectural Association (Incorporated),Q11,0%,6%,9%,40%,45%,0,73%,85%,92%,67,86
10008071,Architectural Association (Incorporated),Scale03,4%,11%,18%,34%,33%,0,54%,67%,78%,67,86
10008071,Architectural Association (Incorporated),Q12,0%,4%,6%,36%,54%,0,79%,90%,95%,67,86
10008071,Architectural Association (Incorporated),Q13,3%,3%,4%,42%,48%,0,79%,90%,95%,67,86
10008071,Architectural Association (Incorporated),Q14,1%,9%,13%,40%,36%,0,63%,76%,85%,67,86
10008071,Architectural Association (Incorporated),Scale04,1%,5%,8%,39%,46%,0,73%,85%,92%,67,86
10008071,Architectural Association (Incorporated),Q15,4%,6%,15%,45%,30%,0,62%,75%,84%,67,86
10008071,Architectural Association (Incorporated),Q16,4%,12%,12%,39%,33%,0,59%,72%,82%,67,86
10008071,Architectural Association (Incorporated),Q17,3%,14%,18%,36%,29%,1,52%,65%,76%,66,86
10008071,Architectural Association (Incorporated),Scale05,4%,10%,15%,40%,30%,1,57%,70%,81%,67,86
10008071,Architectural Association (Incorporated),Q18,4%,9%,22%,39%,25%,0,51%,64%,76%,67,86
10008071,Architectural Association (Incorporated),Q19,1%,1%,16%,48%,33%,0,68%,81%,89%,67,86
10008071,Architectural Association (Incorporated),Q20,4%,13%,19%,30%,33%,0,49%,63%,74%,67,86
10008071,Architectural Association (Incorporated),Scale06,3%,8%,19%,39%,30%,0,56%,69%,80%,67,86
10008071,Architectural Association (Incorporated),Q21,4%,7%,15%,36%,37%,0,60%,73%,83%,67,86
10008071,Architectural Association (Incorporated),Q22,5%,6%,21%,26%,42%,1,55%,68%,79%,66,86
10008071,Architectural Association (Incorporated),Scale07,4%,7%,18%,31%,40%,1,58%,71%,81%,67,86
10008071,Architectural Association (Incorporated),Q23,4%,4%,12%,48%,31%,0,67%,79%,88%,67,86
10008071,Architectural Association (Incorporated),Q24,5%,9%,11%,42%,33%,1,63%,76%,85%,66,86
10008071,Architectural Association (Incorporated),Q25,4%,10%,36%,30%,19%,0,36%,49%,62%,67,86
10008071,Architectural Association (Incorporated),Scale08,4%,8%,20%,40%,28%,1,54%,68%,79%,67,86
10008071,Architectural Association (Incorporated),Q26,6%,9%,25%,34%,25%,3,46%,59%,72%,64,86
10008071,Architectural Association (Incorporated),Q27,2%,3%,18%,23%,55%,1,64%,77%,86%,66,86
10005451,Arden University Limited,Q01,2%,7%,11%,49%,31%,3,76%,80%,83%,658,922
10005451,Arden University Limited,Q02,3%,6%,17%,45%,29%,3,70%,74%,77%,658,922
10005451,Arden University Limited,Q03,2%,4%,10%,43%,41%,1,81%,84%,87%,660,922
10005451,Arden University Limited,Q04,2%,4%,12%,36%,46%,2,79%,82%,85%,659,922
10005451,Arden University Limited,Scale01,2%,5%,12%,43%,37%,9,76%,80%,83%,661,922
10005451,Arden University Limited,Q05,2%,6%,9%,38%,45%,1,80%,83%,86%,660,922
10005451,Arden University Limited,Q06,1%,4%,10%,42%,43%,3,82%,85%,88%,658,922
10005451,Arden University Limited,Q07,3%,5%,11%,36%,44%,2,77%,80%,84%,659,922
10005451,Arden University Limited,Scale02,2%,5%,10%,39%,44%,6,79%,83%,86%,661,922
10005451,Arden University Limited,Q08,5%,7%,14%,39%,35%,2,70%,74%,77%,659,922
10005451,Arden University Limited,Q09,5%,7%,17%,43%,28%,3,67%,71%,75%,658,922
10005451,Arden University Limited,Q10,4%,7%,13%,45%,31%,3,72%,76%,79%,658,922
10005451,Arden University Limited,Q11,4%,7%,12%,42%,36%,2,74%,78%,81%,659,922
10005451,Arden University Limited,Scale03,5%,7%,14%,42%,32%,10,71%,75%,78%,661,922
10005451,Arden University Limited,Q12,7%,7%,11%,36%,39%,2,71%,75%,78%,659,922
10005451,Arden University Limited,Q13,7%,8%,13%,40%,32%,1,68%,72%,75%,660,922
10005451,Arden University Limited,Q14,6%,6%,18%,36%,34%,13,65%,69%,73%,648,922
10005451,Arden University Limited,Scale04,7%,7%,14%,37%,35%,16,68%,72%,76%,661,922
10005451,Arden University Limited,Q15,8%,10%,13%,37%,33%,2,65%,69%,73%,659,922
10005451,Arden University Limited,Q16,5%,6%,12%,36%,41%,5,73%,77%,80%,656,922
10005451,Arden University Limited,Q17,7%,8%,14%,37%,34%,7,67%,71%,75%,654,922
10005451,Arden University Limited,Scale05,6%,8%,13%,37%,36%,14,68%,72%,76%,661,922
10005451,Arden University Limited,Q18,7%,8%,16%,39%,29%,15,64%,68%,72%,646,922
10005451,Arden University Limited,Q19,8%,12%,16%,35%,29%,6,61%,65%,69%,655,922
10005451,Arden University Limited,Q20,6%,9%,21%,36%,28%,25,60%,64%,68%,636,922
10005451,Arden University Limited,Scale06,7%,10%,17%,37%,28%,46,61%,65%,69%,661,922
10005451,Arden University Limited,Q21,11%,10%,19%,34%,26%,10,55%,59%,64%,651,922
10005451,Arden University Limited,Q22,11%,10%,17%,33%,29%,25,58%,62%,66%,636,922
10005451,Arden University Limited,Scale07,11%,10%,18%,33%,27%,35,56%,60%,64%,656,922
10005451,Arden University Limited,Q23,5%,6%,12%,41%,37%,8,74%,78%,81%,653,922
10005451,Arden University Limited,Q24,7%,6%,20%,37%,30%,8,64%,68%,72%,653,922
10005451,Arden University Limited,Q25,8%,8%,28%,32%,24%,7,52%,56%,60%,654,922
10005451,Arden University Limited,Scale08,7%,7%,20%,37%,30%,23,63%,67%,71%,660,922
10005451,Arden University Limited,Q26,6%,4%,35%,31%,23%,39,50%,55%,59%,622,922
10005451,Arden University Limited,Q27,5%,6%,13%,37%,39%,0,72%,76%,79%,661,922
10000381,Arts Educational Schools(The),Q01,1%,1%,4%,35%,58%,0,83%,93%,97%,69,81
10000381,Arts Educational Schools(The),Q02,0%,1%,3%,30%,65%,0,87%,96%,99%,69,81
10000381,Arts Educational Schools(The),Q03,1%,1%,4%,26%,67%,0,83%,93%,97%,69,81
10000381,Arts Educational Schools(The),Q04,0%,3%,4%,19%,74%,0,83%,93%,97%,69,81
10000381,Arts Educational Schools(The),Scale01,1%,2%,4%,28%,66%,0,84%,93%,98%,69,81
10000381,Arts Educational Schools(The),Q05,0%,0%,3%,30%,67%,0,89%,97%,99%,69,81
10000381,Arts Educational Schools(The),Q06,0%,0%,4%,26%,70%,0,87%,96%,99%,69,81
10000381,Arts Educational Schools(The),Q07,0%,0%,4%,22%,74%,0,87%,96%,99%,69,81
10000381,Arts Educational Schools(The),Scale02,0%,0%,4%,26%,70%,0,87%,96%,99%,69,81
10000381,Arts Educational Schools(The),Q08,3%,6%,13%,30%,48%,0,66%,78%,87%,69,81
10000381,Arts Educational Schools(The),Q09,6%,4%,12%,38%,41%,0,66%,78%,87%,69,81
10000381,Arts Educational Schools(The),Q10,1%,4%,16%,35%,43%,0,66%,78%,87%,69,81
10000381,Arts Educational Schools(The),Q11,3%,3%,7%,33%,54%,0,76%,87%,93%,69,81
10000381,Arts Educational Schools(The),Scale03,3%,4%,12%,34%,46%,0,68%,80%,89%,69,81
10000381,Arts Educational Schools(The),Q12,3%,6%,4%,17%,70%,0,76%,87%,93%,69,81
10000381,Arts Educational Schools(The),Q13,3%,0%,4%,35%,58%,0,83%,93%,97%,69,81
10000381,Arts Educational Schools(The),Q14,1%,0%,10%,28%,60%,1,77%,88%,94%,68,81
10000381,Arts Educational Schools(The),Scale04,2%,2%,7%,27%,62%,1,78%,89%,95%,69,81
10000381,Arts Educational Schools(The),Q15,4%,1%,12%,38%,45%,0,71%,83%,90%,69,81
10000381,Arts Educational Schools(The),Q16,0%,1%,7%,22%,70%,0,81%,91%,96%,69,81
10000381,Arts Educational Schools(The),Q17,6%,9%,10%,32%,43%,0,63%,75%,85%,69,81
10000381,Arts Educational Schools(The),Scale05,3%,4%,10%,30%,53%,0,71%,83%,91%,69,81
10000381,Arts Educational Schools(The),Q18,0%,6%,9%,29%,57%,0,74%,86%,92%,69,81
10000381,Arts Educational Schools(The),Q19,1%,0%,1%,13%,84%,0,89%,97%,99%,69,81
10000381,Arts Educational Schools(The),Q20,0%,3%,7%,22%,68%,0,79%,90%,95%,69,81
10000381,Arts Educational Schools(The),Scale06,0%,3%,6%,21%,70%,0,80%,91%,96%,69,81
10000381,Arts Educational Schools(The),Q21,6%,3%,1%,25%,65%,0,79%,90%,95%,69,81
10000381,Arts Educational Schools(The),Q22,0%,0%,1%,17%,81%,0,91%,99%,100%,69,81
10000381,Arts Educational Schools(The),Scale07,3%,1%,1%,21%,73%,0,85%,94%,98%,69,81
10000381,Arts Educational Schools(The),Q23,1%,6%,10%,21%,62%,1,70%,82%,90%,68,81
10000381,Arts Educational Schools(The),Q24,9%,4%,15%,22%,50%,1,59%,72%,82%,68,81
10000381,Arts Educational Schools(The),Q25,3%,10%,6%,38%,43%,1,69%,81%,89%,68,81
10000381,Arts Educational Schools(The),Scale08,4%,7%,10%,27%,51%,3,66%,78%,87%,68,81
10000381,Arts Educational Schools(The),Q26,1%,3%,16%,18%,62%,1,67%,79%,88%,68,81
10000381,Arts Educational Schools(The),Q27,1%,0%,7%,23%,68%,0,81%,91%,96%,69,81
10000385,"Arts University Bournemouth, the",Q01,3%,6%,10%,55%,27%,0,78%,82%,85%,612,890
