2019 NSS results split by teaching provider,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,%Agree,,,,,
UKPRN,Provider,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval - min,Actual value,Confidence interval - max,Response,Sample Size,Two years aggregate data?
10046802,Academy of Music & Sound (Exeter) Ltd,Q16,0%,20%,30%,30%,20%,0,22%,50%,78%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q17,0%,20%,20%,30%,30%,0,29%,60%,85%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Scale05,3%,23%,23%,27%,23%,0,22%,50%,78%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q18,0%,0%,30%,30%,40%,0,37%,70%,90%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q19,11%,22%,22%,33%,11%,1,17%,44%,76%,9,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q20,0%,10%,20%,30%,40%,0,37%,70%,90%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Scale06,3%,12%,23%,32%,30%,1,30%,62%,86%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q21,0%,0%,0%,50%,50%,0,68%,100%,100%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q22,0%,0%,10%,40%,50%,0,56%,90%,98%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Scale07,0%,0%,5%,45%,50%,0,62%,95%,100%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q23,0%,10%,10%,40%,40%,0,46%,80%,95%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q24,0%,0%,20%,30%,50%,0,46%,80%,95%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Q25,0%,10%,30%,40%,20%,0,29%,60%,85%,10,16,
10046802,Academy of Music & Sound (Exeter) Ltd,Scale08,0%,7%,20%,37%,37%,0,40%,73%,92%,10,16,
