2019 NSS results split by teaching provider,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,%Agree,,,,,
UKPRN,Provider,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval - min,Actual value,Confidence interval - max,Response,Sample Size,Two years aggregate data?
10007419,West Kent and Ashford College,Scale08,2%,4%,12%,45%,37%,1,66%,82%,91%,42,50,
10007419,West Kent and Ashford College,Q26,5%,3%,26%,38%,28%,3,49%,67%,80%,39,50,
10007419,West Kent and Ashford College,Q27,5%,2%,0%,36%,57%,0,79%,93%,98%,42,50,
10006566,The University of West London,Q01,1%,3%,4%,46%,46%,0,90%,92%,93%,1690,2071,
10006566,The University of West London,Q02,1%,5%,7%,46%,42%,0,86%,88%,89%,1690,2071,
10006566,The University of West London,Q03,2%,6%,6%,38%,48%,0,84%,86%,88%,1690,2071,
10006566,The University of West London,Q04,2%,6%,6%,33%,53%,2,84%,85%,87%,1688,2071,
10006566,The University of West London,Scale01,1%,5%,6%,41%,47%,2,86%,88%,89%,1690,2071,
10006566,The University of West London,Q05,1%,5%,6%,35%,52%,1,85%,87%,89%,1689,2071,
10006566,The University of West London,Q06,1%,5%,5%,38%,51%,1,87%,89%,90%,1689,2071,
10006566,The University of West London,Q07,2%,5%,5%,34%,54%,2,86%,88%,89%,1688,2071,
10006566,The University of West London,Scale02,1%,5%,6%,36%,52%,4,86%,88%,90%,1690,2071,
10006566,The University of West London,Q08,4%,9%,7%,39%,41%,2,78%,80%,82%,1688,2071,
10006566,The University of West London,Q09,4%,9%,10%,43%,33%,5,74%,76%,78%,1685,2071,
10006566,The University of West London,Q10,4%,9%,6%,38%,43%,1,79%,81%,83%,1689,2071,
10006566,The University of West London,Q11,3%,8%,7%,40%,42%,1,80%,82%,84%,1689,2071,
10006566,The University of West London,Scale03,4%,9%,8%,40%,40%,9,78%,80%,82%,1690,2071,
10006566,The University of West London,Q12,2%,5%,4%,34%,56%,4,88%,90%,91%,1686,2071,
10006566,The University of West London,Q13,2%,5%,7%,41%,46%,3,85%,87%,89%,1687,2071,
10006566,The University of West London,Q14,2%,6%,7%,39%,47%,24,83%,85%,87%,1666,2071,
10006566,The University of West London,Scale04,2%,5%,6%,38%,50%,31,85%,87%,89%,1690,2071,
10006566,The University of West London,Q15,6%,10%,9%,38%,36%,2,72%,75%,77%,1688,2071,
10006566,The University of West London,Q16,3%,7%,8%,37%,45%,1,80%,82%,84%,1689,2071,
10006566,The University of West London,Q17,4%,9%,6%,37%,44%,7,78%,81%,83%,1683,2071,
10006566,The University of West London,Scale05,4%,9%,8%,37%,42%,10,77%,79%,81%,1690,2071,
10006566,The University of West London,Q18,1%,3%,6%,39%,51%,6,88%,89%,91%,1684,2071,
10006566,The University of West London,Q19,1%,3%,4%,32%,60%,7,91%,92%,93%,1683,2071,
10006566,The University of West London,Q20,2%,3%,4%,36%,55%,19,89%,91%,92%,1671,2071,
10006566,The University of West London,Scale06,1%,3%,5%,35%,55%,32,89%,91%,92%,1689,2071,
10006566,The University of West London,Q21,4%,8%,10%,33%,44%,8,75%,77%,79%,1682,2071,
10006566,The University of West London,Q22,1%,4%,6%,36%,53%,8,87%,89%,90%,1682,2071,
10006566,The University of West London,Scale07,3%,6%,8%,35%,48%,16,81%,83%,85%,1688,2071,
10006566,The University of West London,Q23,1%,3%,5%,35%,56%,4,89%,91%,93%,1686,2071,
10006566,The University of West London,Q24,2%,5%,7%,35%,50%,4,84%,86%,87%,1686,2071,
10006566,The University of West London,Q25,3%,8%,11%,34%,44%,8,76%,78%,81%,1682,2071,
10006566,The University of West London,Scale08,2%,5%,8%,35%,50%,16,83%,85%,87%,1688,2071,
10006566,The University of West London,Q26,3%,6%,14%,33%,45%,29,76%,78%,80%,1661,2071,
10006566,The University of West London,Q27,2%,5%,6%,36%,51%,5,86%,87%,89%,1685,2071,
10006566,The University of West London,NHS1,5%,15%,6%,43%,31%,1,68%,74%,78%,389,423,
10006566,The University of West London,NHS2,3%,5%,3%,39%,51%,0,86%,89%,92%,390,423,
10006566,The University of West London,NHS3,5%,6%,3%,41%,44%,1,81%,86%,89%,389,423,
10006566,The University of West London,NHS4,3%,4%,3%,39%,52%,0,87%,91%,93%,390,423,
10006566,The University of West London,NHS5,4%,7%,3%,33%,53%,0,82%,86%,90%,390,423,
10006566,The University of West London,NHS6,3%,4%,5%,43%,45%,0,84%,88%,91%,390,423,
10006566,The University of West London,ScaleNHS,4%,7%,4%,40%,46%,2,81%,85%,89%,390,423,
10007427,West Nottinghamshire College,Q01,0%,2%,11%,55%,32%,1,74%,87%,94%,53,72,
10007427,West Nottinghamshire College,Q02,0%,6%,15%,56%,24%,0,66%,80%,89%,54,72,
10007427,West Nottinghamshire College,Q03,0%,7%,11%,46%,35%,0,68%,81%,90%,54,72,
10007427,West Nottinghamshire College,Q04,2%,6%,15%,33%,44%,0,64%,78%,88%,54,72,
10007427,West Nottinghamshire College,Scale01,0%,5%,13%,48%,34%,1,68%,81%,90%,54,72,
10007427,West Nottinghamshire College,Q05,2%,0%,6%,54%,39%,0,81%,93%,97%,54,72,
10007427,West Nottinghamshire College,Q06,0%,2%,9%,43%,46%,0,76%,89%,95%,54,72,
10007427,West Nottinghamshire College,Q07,2%,4%,15%,44%,35%,0,66%,80%,89%,54,72,
10007427,West Nottinghamshire College,Scale02,1%,2%,10%,47%,40%,0,74%,87%,94%,54,72,
10007427,West Nottinghamshire College,Q08,2%,9%,13%,39%,37%,0,62%,76%,86%,54,72,
10007427,West Nottinghamshire College,Q09,4%,4%,20%,37%,35%,0,58%,72%,83%,54,72,
10007427,West Nottinghamshire College,Q10,2%,6%,17%,54%,22%,0,62%,76%,86%,54,72,
10007427,West Nottinghamshire College,Q11,7%,2%,13%,39%,39%,0,64%,78%,88%,54,72,
10007427,West Nottinghamshire College,Scale03,4%,5%,16%,42%,33%,0,61%,75%,86%,54,72,
10007427,West Nottinghamshire College,Q12,0%,7%,6%,33%,54%,0,74%,87%,94%,54,72,
10007427,West Nottinghamshire College,Q13,0%,6%,11%,50%,33%,0,70%,83%,92%,54,72,
10007427,West Nottinghamshire College,Q14,0%,6%,11%,52%,31%,0,70%,83%,92%,54,72,
10007427,West Nottinghamshire College,Scale04,0%,6%,9%,45%,40%,0,71%,85%,92%,54,72,
10007427,West Nottinghamshire College,Q15,4%,13%,19%,46%,19%,0,50%,65%,77%,54,72,
10007427,West Nottinghamshire College,Q16,2%,4%,7%,44%,43%,0,74%,87%,94%,54,72,
10007427,West Nottinghamshire College,Q17,6%,15%,21%,34%,25%,1,44%,58%,72%,53,72,
10007427,West Nottinghamshire College,Scale05,4%,10%,16%,42%,28%,1,55%,70%,82%,54,72,
10007427,West Nottinghamshire College,Q18,0%,4%,11%,48%,37%,0,72%,85%,93%,54,72,
10007427,West Nottinghamshire College,Q19,2%,7%,4%,43%,44%,0,74%,87%,94%,54,72,
10007427,West Nottinghamshire College,Q20,2%,8%,8%,36%,47%,1,69%,83%,91%,53,72,
10007427,West Nottinghamshire College,Scale06,1%,6%,7%,42%,43%,1,72%,85%,93%,54,72,
10007427,West Nottinghamshire College,Q21,2%,6%,21%,38%,34%,1,57%,72%,83%,53,72,
10007427,West Nottinghamshire College,Q22,2%,4%,6%,45%,43%,1,76%,89%,95%,53,72,
10007427,West Nottinghamshire College,Scale07,2%,5%,13%,42%,39%,2,66%,80%,89%,53,72,
10007427,West Nottinghamshire College,Q23,0%,6%,6%,44%,44%,0,76%,89%,95%,54,72,
10007427,West Nottinghamshire College,Q24,2%,6%,17%,37%,39%,0,62%,76%,86%,54,72,
10007427,West Nottinghamshire College,Q25,4%,13%,22%,35%,26%,0,46%,61%,74%,54,72,
10007427,West Nottinghamshire College,Scale08,2%,8%,15%,39%,36%,0,61%,75%,86%,54,72,
10007427,West Nottinghamshire College,Q26,6%,2%,21%,43%,28%,7,54%,70%,82%,47,72,
10007427,West Nottinghamshire College,Q27,2%,6%,11%,44%,37%,0,68%,81%,90%,54,72,
10007164,"University of the West of England, Bristol",Q01,1%,2%,4%,60%,33%,1,93%,94%,94%,3943,4894,
10007164,"University of the West of England, Bristol",Q02,1%,4%,10%,53%,33%,7,85%,86%,87%,3937,4894,
10007164,"University of the West of England, Bristol",Q03,1%,4%,9%,42%,44%,2,84%,85%,86%,3942,4894,
10007164,"University of the West of England, Bristol",Q04,2%,6%,9%,40%,44%,4,83%,84%,85%,3940,4894,
10007164,"University of the West of England, Bristol",Scale01,1%,4%,8%,49%,39%,14,86%,87%,88%,3944,4894,
10007164,"University of the West of England, Bristol",Q05,1%,4%,8%,42%,45%,1,86%,87%,88%,3943,4894,
10007164,"University of the West of England, Bristol",Q06,1%,4%,8%,42%,46%,0,86%,87%,88%,3944,4894,
10007164,"University of the West of England, Bristol",Q07,1%,4%,9%,39%,47%,2,85%,86%,87%,3942,4894,
10007164,"University of the West of England, Bristol",Scale02,1%,4%,9%,41%,46%,3,85%,87%,88%,3944,4894,
10007164,"University of the West of England, Bristol",Q08,3%,8%,13%,39%,37%,4,75%,76%,78%,3940,4894,
10007164,"University of the West of England, Bristol",Q09,2%,7%,15%,45%,30%,1,73%,75%,76%,3943,4894,
10007164,"University of the West of England, Bristol",Q10,3%,7%,11%,42%,37%,2,78%,79%,80%,3942,4894,
10007164,"University of the West of England, Bristol",Q11,2%,8%,13%,45%,32%,1,76%,77%,79%,3943,4894,
10007164,"University of the West of England, Bristol",Scale03,3%,7%,13%,43%,34%,8,75%,77%,78%,3944,4894,
10007164,"University of the West of England, Bristol",Q12,1%,3%,6%,37%,53%,3,88%,89%,90%,3941,4894,
10007164,"University of the West of England, Bristol",Q13,2%,4%,10%,46%,38%,2,83%,84%,86%,3942,4894,
10007164,"University of the West of England, Bristol",Q14,1%,5%,14%,41%,38%,67,78%,80%,81%,3877,4894,
10007164,"University of the West of England, Bristol",Scale04,1%,4%,10%,41%,43%,72,83%,84%,86%,3944,4894,
10007164,"University of the West of England, Bristol",Q15,3%,8%,13%,47%,29%,0,75%,77%,78%,3944,4894,
10007164,"University of the West of England, Bristol",Q16,2%,7%,9%,38%,44%,3,80%,82%,83%,3941,4894,
10007164,"University of the West of England, Bristol",Q17,2%,5%,10%,42%,42%,33,82%,83%,85%,3911,4894,
10007164,"University of the West of England, Bristol",Scale05,2%,7%,11%,42%,38%,36,79%,80%,82%,3944,4894,
10007164,"University of the West of England, Bristol",Q18,1%,3%,7%,40%,48%,24,87%,88%,89%,3920,4894,
10007164,"University of the West of England, Bristol",Q19,1%,2%,6%,34%,57%,21,90%,91%,92%,3923,4894,
10007164,"University of the West of England, Bristol",Q20,1%,2%,7%,39%,52%,43,90%,91%,92%,3901,4894,
10007164,"University of the West of England, Bristol",Scale06,1%,2%,7%,38%,52%,88,89%,90%,91%,3944,4894,
10007164,"University of the West of England, Bristol",Q21,4%,7%,15%,35%,38%,13,72%,74%,75%,3931,4894,
10007164,"University of the West of England, Bristol",Q22,1%,3%,7%,39%,50%,14,88%,89%,90%,3930,4894,
10007164,"University of the West of England, Bristol",Scale07,2%,5%,11%,37%,44%,27,80%,81%,83%,3942,4894,
10007164,"University of the West of England, Bristol",Q23,1%,3%,6%,40%,50%,11,89%,90%,91%,3933,4894,
10007164,"University of the West of England, Bristol",Q24,2%,5%,11%,36%,47%,20,82%,83%,84%,3924,4894,
10007164,"University of the West of England, Bristol",Q25,2%,8%,20%,36%,33%,47,68%,70%,71%,3897,4894,
10007164,"University of the West of England, Bristol",Scale08,1%,5%,12%,37%,44%,78,80%,81%,82%,3935,4894,
10007164,"University of the West of England, Bristol",Q26,4%,9%,30%,35%,21%,179,55%,56%,58%,3765,4894,
10007164,"University of the West of England, Bristol",Q27,1%,4%,6%,40%,48%,28,87%,88%,90%,3916,4894,
10007164,"University of the West of England, Bristol",NHS1,1%,6%,7%,48%,38%,4,83%,86%,89%,693,869,
10007164,"University of the West of England, Bristol",NHS2,0%,3%,3%,31%,62%,2,91%,94%,95%,695,869,
10007164,"University of the West of England, Bristol",NHS3,1%,5%,8%,45%,41%,4,82%,86%,88%,693,869,
10007164,"University of the West of England, Bristol",NHS4,1%,2%,5%,45%,49%,1,91%,93%,95%,696,869,
10007164,"University of the West of England, Bristol",NHS5,1%,2%,7%,43%,47%,2,87%,90%,92%,695,869,
10007164,"University of the West of England, Bristol",NHS6,1%,3%,9%,47%,40%,2,84%,87%,89%,695,869,
10007164,"University of the West of England, Bristol",ScaleNHS,1%,3%,7%,43%,46%,15,87%,89%,92%,697,869,
10007800,University of the West of Scotland,Q01,1%,4%,6%,58%,31%,2,87%,89%,90%,2280,2781,
10007800,University of the West of Scotland,Q02,1%,5%,11%,56%,27%,2,81%,82%,84%,2280,2781,
10007800,University of the West of Scotland,Q03,1%,4%,10%,47%,37%,2,83%,84%,86%,2280,2781,
10007800,University of the West of Scotland,Q04,2%,4%,9%,41%,44%,1,83%,85%,87%,2281,2781,
10007800,University of the West of Scotland,Scale01,1%,4%,9%,50%,35%,7,83%,85%,87%,2282,2781,
10007800,University of the West of Scotland,Q05,1%,4%,8%,44%,42%,1,85%,87%,88%,2281,2781,
10007800,University of the West of Scotland,Q06,1%,3%,10%,43%,43%,1,85%,86%,88%,2281,2781,
10007800,University of the West of Scotland,Q07,2%,5%,9%,40%,44%,4,81%,83%,85%,2278,2781,
10007800,University of the West of Scotland,Scale02,1%,4%,9%,42%,43%,6,84%,85%,87%,2282,2781,
10007800,University of the West of Scotland,Q08,4%,7%,13%,41%,35%,0,74%,76%,77%,2282,2781,
10007800,University of the West of Scotland,Q09,3%,7%,14%,47%,30%,4,74%,76%,78%,2278,2781,
10007800,University of the West of Scotland,Q10,5%,11%,13%,41%,31%,3,69%,71%,73%,2279,2781,
10007800,University of the West of Scotland,Q11,3%,8%,13%,45%,31%,3,74%,76%,78%,2279,2781,
10007800,University of the West of Scotland,Scale03,4%,8%,13%,43%,32%,10,73%,75%,77%,2282,2781,
10007800,University of the West of Scotland,Q12,2%,4%,8%,38%,47%,5,84%,85%,87%,2277,2781,
10007800,University of the West of Scotland,Q13,2%,6%,11%,46%,36%,6,79%,81%,83%,2276,2781,
10007800,University of the West of Scotland,Q14,3%,7%,17%,40%,34%,52,72%,74%,76%,2230,2781,
10007800,University of the West of Scotland,Scale04,2%,6%,12%,41%,39%,63,78%,80%,82%,2282,2781,
10007800,University of the West of Scotland,Q15,8%,10%,15%,45%,23%,3,65%,67%,70%,2279,2781,
10007800,University of the West of Scotland,Q16,2%,5%,10%,40%,42%,3,81%,82%,84%,2279,2781,
10007800,University of the West of Scotland,Q17,4%,7%,11%,42%,36%,7,76%,78%,80%,2275,2781,
10007800,University of the West of Scotland,Scale05,5%,7%,12%,42%,34%,13,74%,76%,78%,2282,2781,
10007800,University of the West of Scotland,Q18,2%,6%,11%,43%,38%,22,79%,81%,83%,2260,2781,
10007800,University of the West of Scotland,Q19,2%,5%,10%,39%,45%,24,82%,84%,85%,2258,2781,
10007800,University of the West of Scotland,Q20,2%,3%,10%,43%,42%,33,83%,85%,86%,2249,2781,
10007800,University of the West of Scotland,Scale06,2%,5%,10%,41%,42%,79,81%,83%,85%,2280,2781,
10007800,University of the West of Scotland,Q21,5%,9%,19%,38%,29%,10,65%,67%,69%,2272,2781,
10007800,University of the West of Scotland,Q22,1%,2%,7%,40%,50%,9,89%,90%,92%,2273,2781,
10007800,University of the West of Scotland,Scale07,3%,6%,13%,39%,40%,19,77%,79%,81%,2279,2781,
10007800,University of the West of Scotland,Q23,2%,4%,9%,40%,47%,11,84%,86%,88%,2271,2781,
10007800,University of the West of Scotland,Q24,4%,7%,15%,37%,37%,15,72%,74%,76%,2267,2781,
10007800,University of the West of Scotland,Q25,5%,11%,23%,34%,26%,22,58%,60%,63%,2260,2781,
10007800,University of the West of Scotland,Scale08,4%,7%,16%,37%,37%,48,71%,73%,75%,2273,2781,
10007800,University of the West of Scotland,Q26,5%,7%,35%,31%,21%,135,50%,52%,54%,2147,2781,
10007800,University of the West of Scotland,Q27,3%,5%,8%,45%,39%,11,82%,84%,86%,2271,2781,
10007431,West Suffolk College,Q01,4%,3%,10%,45%,39%,0,73%,84%,91%,80,106,
10007431,West Suffolk College,Q02,3%,6%,9%,43%,39%,1,71%,82%,90%,79,106,
10007431,West Suffolk College,Q03,4%,9%,10%,29%,49%,0,66%,78%,86%,80,106,
10007431,West Suffolk College,Q04,5%,3%,10%,33%,50%,0,72%,83%,90%,80,106,
10007431,West Suffolk College,Scale01,4%,5%,10%,37%,44%,1,70%,81%,89%,80,106,
10007431,West Suffolk College,Q05,3%,6%,10%,41%,40%,0,70%,81%,89%,80,106,
10007431,West Suffolk College,Q06,1%,4%,8%,38%,49%,1,77%,87%,93%,79,106,
10007431,West Suffolk College,Q07,1%,8%,13%,38%,41%,0,67%,79%,87%,80,106,
10007431,West Suffolk College,Scale02,2%,6%,10%,39%,43%,1,71%,82%,90%,80,106,
10007431,West Suffolk College,Q08,8%,6%,11%,36%,39%,0,63%,75%,84%,80,106,
10007431,West Suffolk College,Q09,6%,6%,14%,30%,44%,0,62%,74%,83%,80,106,
10007431,West Suffolk College,Q10,16%,9%,13%,28%,35%,0,50%,63%,73%,80,106,
10007431,West Suffolk College,Q11,3%,9%,5%,51%,33%,0,73%,84%,91%,80,106,
10007431,West Suffolk College,Scale03,8%,8%,11%,36%,38%,0,62%,74%,83%,80,106,
10007431,West Suffolk College,Q12,3%,9%,11%,38%,40%,0,66%,78%,86%,80,106,
10007431,West Suffolk College,Q13,5%,3%,18%,40%,35%,0,63%,75%,84%,80,106,
10007431,West Suffolk College,Q14,1%,4%,13%,44%,38%,1,71%,82%,90%,79,106,
10007431,West Suffolk College,Scale04,3%,5%,14%,41%,38%,1,67%,78%,87%,80,106,
10007431,West Suffolk College,Q15,10%,13%,14%,36%,28%,0,52%,64%,74%,80,106,
10007431,West Suffolk College,Q16,3%,5%,8%,38%,48%,0,74%,85%,92%,80,106,
10007431,West Suffolk College,Q17,6%,10%,8%,38%,39%,0,65%,76%,85%,80,106,
10007431,West Suffolk College,Scale05,6%,9%,10%,37%,38%,0,63%,75%,84%,80,106,
10007431,West Suffolk College,Q18,10%,4%,13%,47%,27%,1,62%,73%,83%,79,106,
10007431,West Suffolk College,Q19,4%,6%,10%,38%,42%,3,68%,79%,87%,77,106,
10007431,West Suffolk College,Q20,5%,1%,9%,46%,39%,1,74%,85%,92%,79,106,
10007431,West Suffolk College,Scale06,6%,4%,11%,44%,35%,5,68%,79%,87%,80,106,
10007431,West Suffolk College,Q21,9%,8%,13%,30%,41%,1,59%,71%,81%,79,106,
10007431,West Suffolk College,Q22,3%,0%,9%,44%,45%,0,79%,89%,94%,80,106,
10007431,West Suffolk College,Scale07,6%,4%,11%,37%,43%,1,69%,80%,88%,80,106,
10007431,West Suffolk College,Q23,1%,8%,14%,40%,38%,0,66%,78%,86%,80,106,
10007431,West Suffolk College,Q24,5%,8%,11%,35%,41%,1,64%,76%,85%,79,106,
10007431,West Suffolk College,Q25,9%,9%,18%,33%,32%,1,52%,65%,75%,79,106,
10007431,West Suffolk College,Scale08,5%,8%,15%,36%,37%,2,61%,73%,82%,80,106,
10007431,West Suffolk College,Q26,10%,14%,21%,35%,20%,9,42%,55%,67%,71,106,
10007431,West Suffolk College,Q27,5%,9%,13%,34%,40%,0,62%,74%,83%,80,106,
10007434,West Thames College,Q01,0%,8%,31%,23%,38%,0,33%,62%,84%,13,19,
10007434,West Thames College,Q02,0%,8%,15%,54%,23%,0,47%,77%,93%,13,19,
10007434,West Thames College,Q03,0%,0%,15%,54%,31%,0,55%,85%,96%,13,19,
10007434,West Thames College,Q04,0%,0%,15%,38%,46%,0,55%,85%,96%,13,19,
10007434,West Thames College,Scale01,0%,4%,19%,42%,35%,0,47%,77%,93%,13,19,
10007434,West Thames College,Q05,0%,8%,0%,54%,38%,0,63%,92%,99%,13,19,
10007434,West Thames College,Q06,0%,15%,8%,38%,38%,0,47%,77%,93%,13,19,
10007434,West Thames College,Q07,0%,0%,8%,46%,46%,0,63%,92%,99%,13,19,
10007434,West Thames College,Scale02,0%,8%,5%,46%,41%,0,57%,87%,97%,13,19,
10007434,West Thames College,Q08,0%,8%,15%,62%,15%,0,47%,77%,93%,13,19,
10007434,West Thames College,Q09,0%,0%,15%,54%,31%,0,55%,85%,96%,13,19,
10007434,West Thames College,Q10,8%,23%,8%,38%,23%,0,33%,62%,84%,13,19,
10007434,West Thames College,Q11,0%,8%,23%,23%,46%,0,40%,69%,88%,13,19,
10007434,West Thames College,Scale03,2%,10%,15%,44%,29%,0,43%,73%,91%,13,19,
10007434,West Thames College,Q12,0%,23%,15%,38%,23%,0,33%,62%,84%,13,19,
10007434,West Thames College,Q13,0%,17%,25%,17%,42%,1,30%,58%,82%,12,19,
10007434,West Thames College,Q14,0%,15%,31%,23%,31%,0,27%,54%,79%,13,19,
10007434,West Thames College,Scale04,0%,18%,23%,26%,33%,1,31%,59%,82%,13,19,
10007434,West Thames College,Q15,15%,15%,15%,46%,8%,0,27%,54%,79%,13,19,
10007434,West Thames College,Q16,0%,8%,8%,54%,31%,0,55%,85%,96%,13,19,
10007434,West Thames College,Q17,15%,0%,31%,38%,15%,0,27%,54%,79%,13,19,
10007434,West Thames College,Scale05,10%,8%,18%,46%,18%,0,35%,64%,85%,13,19,
10007434,West Thames College,Q18,8%,8%,8%,62%,15%,0,47%,77%,93%,13,19,
10007434,West Thames College,Q19,8%,0%,15%,46%,31%,0,47%,77%,93%,13,19,
10007434,West Thames College,Q20,8%,0%,8%,54%,31%,0,55%,85%,96%,13,19,
10007434,West Thames College,Scale06,8%,3%,10%,54%,26%,0,49%,79%,94%,13,19,
10007434,West Thames College,Q21,0%,8%,38%,46%,8%,0,27%,54%,79%,13,19,
10007434,West Thames College,Q22,0%,8%,15%,62%,15%,0,47%,77%,93%,13,19,
10007434,West Thames College,Scale07,0%,8%,27%,54%,12%,0,36%,65%,86%,13,19,
10007434,West Thames College,Q23,0%,0%,23%,54%,23%,0,47%,77%,93%,13,19,
10007434,West Thames College,Q24,23%,0%,15%,38%,23%,0,33%,62%,84%,13,19,
10007434,West Thames College,Q25,23%,15%,8%,31%,23%,0,27%,54%,79%,13,19,
10007434,West Thames College,Scale08,15%,5%,15%,41%,23%,0,35%,64%,85%,13,19,
10007434,West Thames College,Q26,8%,17%,42%,17%,17%,1,13%,33%,63%,12,19,
10007434,West Thames College,Q27,0%,15%,15%,38%,31%,0,40%,69%,88%,13,19,
10057945,Westcountry Schools Trust,Q01,1%,0%,6%,54%,39%,0,84%,93%,97%,84,121,
10057945,Westcountry Schools Trust,Q02,0%,0%,0%,67%,33%,0,95%,100%,100%,84,121,
10057945,Westcountry Schools Trust,Q03,0%,0%,0%,37%,63%,0,95%,100%,100%,84,121,
10057945,Westcountry Schools Trust,Q04,1%,1%,5%,30%,63%,1,84%,93%,97%,83,121,
10057945,Westcountry Schools Trust,Scale01,1%,0%,3%,47%,50%,1,89%,96%,99%,84,121,
10057945,Westcountry Schools Trust,Q05,1%,0%,1%,26%,71%,0,91%,98%,99%,84,121,
10057945,Westcountry Schools Trust,Q06,1%,0%,1%,29%,69%,0,91%,98%,99%,84,121,
10057945,Westcountry Schools Trust,Q07,1%,0%,2%,23%,73%,1,89%,96%,99%,83,121,
10057945,Westcountry Schools Trust,Scale02,1%,0%,2%,26%,71%,1,90%,97%,99%,84,121,
10057945,Westcountry Schools Trust,Q08,1%,0%,5%,33%,61%,0,86%,94%,98%,84,121,
10057945,Westcountry Schools Trust,Q09,1%,0%,6%,44%,49%,0,84%,93%,97%,84,121,
10057945,Westcountry Schools Trust,Q10,1%,5%,5%,29%,61%,0,80%,89%,95%,84,121,
10057945,Westcountry Schools Trust,Q11,1%,0%,5%,37%,57%,0,86%,94%,98%,84,121,
10057945,Westcountry Schools Trust,Scale03,1%,1%,5%,36%,57%,0,84%,93%,97%,84,121,
10057945,Westcountry Schools Trust,Q12,2%,4%,7%,39%,48%,0,77%,87%,93%,84,121,
10057945,Westcountry Schools Trust,Q13,1%,0%,6%,38%,55%,0,84%,93%,97%,84,121,
10057945,Westcountry Schools Trust,Q14,1%,1%,10%,45%,43%,0,78%,88%,94%,84,121,
10057945,Westcountry Schools Trust,Scale04,2%,2%,8%,41%,48%,0,80%,89%,95%,84,121,
10057945,Westcountry Schools Trust,Q15,1%,5%,11%,32%,51%,0,73%,83%,90%,84,121,
10057945,Westcountry Schools Trust,Q16,0%,0%,5%,30%,65%,0,87%,95%,98%,84,121,
10057945,Westcountry Schools Trust,Q17,4%,0%,12%,24%,60%,1,74%,84%,91%,83,121,
10057945,Westcountry Schools Trust,Scale05,2%,2%,9%,29%,59%,1,78%,88%,94%,84,121,
10057945,Westcountry Schools Trust,Q18,2%,5%,10%,46%,37%,0,73%,83%,90%,84,121,
10057945,Westcountry Schools Trust,Q19,0%,5%,5%,51%,39%,0,81%,90%,95%,84,121,
10057945,Westcountry Schools Trust,Q20,0%,2%,12%,51%,35%,3,75%,85%,92%,81,121,
10057945,Westcountry Schools Trust,Scale06,1%,4%,9%,49%,37%,3,76%,87%,93%,84,121,
10057945,Westcountry Schools Trust,Q21,4%,1%,15%,30%,51%,3,69%,80%,88%,81,121,
10057945,Westcountry Schools Trust,Q22,1%,4%,6%,29%,60%,1,80%,89%,95%,83,121,
10057945,Westcountry Schools Trust,Scale07,2%,2%,10%,30%,55%,4,75%,85%,92%,83,121,
10057945,Westcountry Schools Trust,Q23,1%,2%,5%,37%,55%,0,83%,92%,96%,84,121,
10057945,Westcountry Schools Trust,Q24,1%,1%,5%,35%,58%,0,84%,93%,97%,84,121,
10057945,Westcountry Schools Trust,Q25,1%,2%,10%,32%,55%,0,77%,87%,93%,84,121,
10057945,Westcountry Schools Trust,Scale08,1%,2%,6%,35%,56%,0,81%,90%,95%,84,121,
10057945,Westcountry Schools Trust,Q26,5%,0%,38%,24%,33%,18,44%,58%,70%,66,121,
10057945,Westcountry Schools Trust,Q27,1%,1%,6%,32%,60%,0,83%,92%,96%,84,121,
10007165,The University of Westminster,Q01,1%,5%,11%,58%,25%,2,82%,83%,85%,2632,3473,
10007165,The University of Westminster,Q02,2%,7%,16%,50%,25%,4,73%,75%,77%,2630,3473,
10007165,The University of Westminster,Q03,2%,5%,14%,44%,34%,3,77%,78%,80%,2631,3473,
10007165,The University of Westminster,Q04,2%,6%,15%,41%,35%,3,75%,77%,78%,2631,3473,
10007165,The University of Westminster,Scale01,2%,6%,14%,48%,30%,12,76%,78%,80%,2634,3473,
10007165,The University of Westminster,Q05,2%,6%,14%,44%,35%,2,77%,79%,81%,2632,3473,
10007165,The University of Westminster,Q06,1%,5%,12%,44%,38%,0,80%,82%,84%,2634,3473,
10007165,The University of Westminster,Q07,2%,6%,13%,44%,34%,7,77%,79%,81%,2627,3473,
10007165,The University of Westminster,Scale02,2%,5%,13%,44%,36%,9,78%,80%,82%,2634,3473,
10007165,The University of Westminster,Q08,5%,10%,17%,41%,28%,4,67%,69%,71%,2630,3473,
10007165,The University of Westminster,Q09,5%,10%,20%,42%,22%,9,62%,64%,66%,2625,3473,
10007165,The University of Westminster,Q10,5%,12%,15%,40%,28%,7,66%,68%,70%,2627,3473,
10007165,The University of Westminster,Q11,4%,11%,17%,42%,26%,3,66%,68%,70%,2631,3473,
10007165,The University of Westminster,Scale03,5%,11%,17%,41%,26%,23,65%,67%,69%,2634,3473,
10007165,The University of Westminster,Q12,2%,6%,10%,40%,42%,10,80%,82%,83%,2624,3473,
10007165,The University of Westminster,Q13,3%,7%,16%,43%,30%,6,72%,74%,75%,2628,3473,
10007165,The University of Westminster,Q14,3%,8%,19%,41%,29%,31,68%,70%,72%,2603,3473,
